dynasty_id,dynasty,reignTitle,monarch,monarchName,beginYear,endYear,label,uri
汉,汉,汉昌,,刘粲,318,318,汉汉昌,http://data.library.sh.cn/authority/temporal/i4ocarm154zvj85b
东晋,东晋,大兴,元帝,司马睿,318,322,东晋大兴,http://data.library.sh.cn/authority/temporal/x1cum2fq46fuhfit
,,建康,,司马保,319,320,建康,http://data.library.sh.cn/authority/temporal/n8canrklg1nc55az
后赵,后赵,,,石勒,319,328,后赵,http://data.library.sh.cn/authority/temporal/ex9s72e9j5snhp19
,,平赵,,句渠知,320,320,平赵,http://data.library.sh.cn/authority/temporal/lm8b89nyqvpzzyas
东晋,东晋,永昌,明帝,司马绍,322,323,东晋永昌,http://data.library.sh.cn/authority/temporal/qhohfgha7bvmaf6z
东晋,东晋,太宁,明帝,司马绍,323,326,东晋太宁,http://data.library.sh.cn/authority/temporal/ely7gzcezjov46mc
东晋,东晋,咸和,成帝,司马衍,326,334,东晋咸和,http://data.library.sh.cn/authority/temporal/iep9tgbt6luxvlls
后赵,后赵,太和,,石勒,328,330,后赵太和,http://data.library.sh.cn/authority/temporal/7kjm2lhqfbrnpscj
后赵,后赵,建平,,石勒,330,333,后赵建平,http://data.library.sh.cn/authority/temporal/efcmeqzh6wjvsds6
后赵,后赵,延熙,,石弘,334,334,后赵延熙,http://data.library.sh.cn/authority/temporal/1k9tsppv36rb4bwg
后赵,后赵,建武,,石虎,335,348,后赵建武,http://data.library.sh.cn/authority/temporal/ivoefdnybsytaqnn
东晋,东晋,咸康,成帝,司马衍,335,342,东晋咸康,http://data.library.sh.cn/authority/temporal/vvkplq2nnkszt31k
汉,汉,玉恒,,李期,336,338,成玉恒,http://data.library.sh.cn/authority/temporal/67phxfsamlxh2d1q
,,龙兴,,侯子光,337,337,龙兴,http://data.library.sh.cn/authority/temporal/gobmyxbus7oncd8b
前燕,前燕,,,慕容皝,337,348,前燕,http://data.library.sh.cn/authority/temporal/fslt6f9vytei4ekl
代,代,建国,,拓跋什翼犍,338,376,代建国,http://data.library.sh.cn/authority/temporal/6va2dmmi7bjw5sll
汉,汉,汉兴,,李寿,338,343,成汉兴,http://data.library.sh.cn/authority/temporal/tonhgohv4vgspyn7
汉,汉,汉兴,,李势,343,343,成汉兴,http://data.library.sh.cn/authority/temporal/rqz5r3bo8xoscwcl
东晋,东晋,建元,康帝,司马岳,343,344,东晋建元,http://data.library.sh.cn/authority/temporal/nrlegpr7vtxqeuux
汉,汉,太和,,李势,344,346,成太和,http://data.library.sh.cn/authority/temporal/rr5qkdlxaha84bkc
东晋,东晋,永和,穆帝,司马聃,345,356,东晋永和,http://data.library.sh.cn/authority/temporal/ap4i78hnrysil4il
汉,汉,嘉宁,,李势,346,347,成嘉宁,http://data.library.sh.cn/authority/temporal/pzog2toaxrwqld6l
前燕,前燕,,,慕容儁,349,352,前燕,http://data.library.sh.cn/authority/temporal/yz1w4ityh8r8idn1
后赵,后赵,太宁,,石虎,349,349,后赵太宁,http://data.library.sh.cn/authority/temporal/h1hgitvu3hzowe3p
前秦,前秦,,,苻洪,350,350,前秦,http://data.library.sh.cn/authority/temporal/fdpnx55jfwurxytj
后赵,后赵,永宁,,石祗,350,351,后赵永宁,http://data.library.sh.cn/authority/temporal/5e8hzsalzoujpfxw
后赵,后赵,青龙,,石世,350,350,后赵青龙,http://data.library.sh.cn/authority/temporal/bdka43e9wkkt8cu3
冉魏,冉魏,永兴,,冉闵,350,352,冉魏永兴,http://data.library.sh.cn/authority/temporal/khklitxc9ycsvoym
前秦,前秦,皇始,,苻健,351,355,前秦皇始,http://data.library.sh.cn/authority/temporal/7n1z6wft3dyhystb
前燕,前燕,元玺,,慕容儁,352,357,前燕元玺,http://data.library.sh.cn/authority/temporal/q9awzxh99vflun9r
前凉,前凉,和平,,张祚,354,355,前凉和平,http://data.library.sh.cn/authority/temporal/wec5mhw4n1gol7o3
前秦,前秦,寿光,,苻生,355,357,前秦寿光,http://data.library.sh.cn/authority/temporal/1ipgezofxoklvuve
前凉,前凉,建兴,,张玄靓,355,361,前凉建兴,http://data.library.sh.cn/authority/temporal/87vfg12xysympcmm
东晋,东晋,升平,穆帝,司马聃,357,361,东晋升平,http://data.library.sh.cn/authority/temporal/5agyc1dw9pbqhc8p
前燕,前燕,光寿,,慕容儁,357,359,前燕光寿,http://data.library.sh.cn/authority/temporal/x12txcyd2ngnchce
前秦,前秦,永兴,,苻坚,357,359,前秦永兴,http://data.library.sh.cn/authority/temporal/hatq6uj2ygq75yoj
前秦,前秦,甘露,,苻坚,359,364,前秦甘露,http://data.library.sh.cn/authority/temporal/awgbxcxxemeestkh
前燕,前燕,建熙,,慕容暐,360,370,前燕建熙,http://data.library.sh.cn/authority/temporal/aep58kxmhpekhiht
前凉,前凉,升平,,张玄靓,361,376,前凉升平,http://data.library.sh.cn/authority/temporal/uwl3fok7rcqrm79n
东晋,东晋,隆和,哀帝,司马丕,362,363,东晋隆和,http://data.library.sh.cn/authority/temporal/4a2882kizdby2udi
东晋,东晋,兴宁,哀帝,司马丕,363,365,东晋兴宁,http://data.library.sh.cn/authority/temporal/y1ytzb8euaiurt8c
前秦,前秦,建元,,苻坚,365,385,前秦建元,http://data.library.sh.cn/authority/temporal/thikwkqrr2t6hwap
